,Region,Procedures,Provider State,Provider Name,Count Of Services,Charges,Payment,Cluster_20
57,FL - Hudson,118,1,5,27379,24073358.770000022,3064842.4899999993,4
58,FL - Jacksonville,128,2,14,118312,41248681.45000008,9212560.190000014,0
59,FL - Lakeland,116,1,3,24029,6582605.4,1375197.999999999,4
60,FL - Miami,126,1,26,171188,87312541.75999999,16972722.61000004,11
61,FL - Ocala,123,1,4,34534,14382459.780000007,2715080.48,1
62,FL - Orlando,126,1,28,306775,80808092.89999995,16665131.850000013,11
63,FL - Ormond Beach,124,1,4,77493,8510012.639999993,2525887.650000002,1
64,FL - Panama City,113,1,3,15721,7307573.2700000005,1429215.1300000006,4
65,FL - Pensacola,128,2,15,68965,27690118.35,5083682.409999998,6
66,FL - Sarasota,127,1,5,83318,13680674.67999999,2630706.4399999995,1
67,FL - St. Petersburg,119,1,6,25932,20174951.349999994,3218006.2300000023,4
68,FL - Tallahassee,124,2,13,61219,15115570.86000002,4318748.169999999,6
69,FL - Tampa,127,1,10,79222,33324055.35000001,6015990.939999999,19
70,GA - Albany,105,1,3,36905,4264757.969999998,1387968.629999999,2
71,GA - Atlanta,129,2,52,404241,88109160.84000014,23815078.210000064,9
72,GA - Augusta,129,2,10,96694,13774238.45999999,4146978.320000001,6
73,GA - Columbus,114,2,5,35685,5071336.169999998,1675252.2299999977,14
74,GA - Macon,124,1,13,58930,14398377.130000014,4468123.650000002,19
75,GA - Rome,111,2,4,22099,7260188.310000002,1916463.1199999996,14
76,GA - Savannah,121,2,11,67801,16365177.340000004,4694965.760000002,6
77,HI - Honolulu,113,1,14,117147,14370269.800000016,5686219.360000005,19
78,IA - Cedar Rapids,118,1,2,23378,4590625.189999998,1384629.899999998,4
79,IA - Davenport,127,2,6,50855,8685088.439999996,3156145.51,6
80,IA - Des Moines,125,1,10,70365,12184635.870000007,3916663.199999998,1
81,IA - Dubuque,93,1,2,10349,2050515.9000000006,724009.0099999998,2
82,IA - Iowa City,121,1,6,137040,6519737.209999994,2520981.9999999995,1
83,IA - Mason City,109,1,1,37824,2067267.7100000007,758850.3199999997,2
84,IA - Sioux City,102,2,3,20663,3435412.8000000007,1137667.8899999994,14
85,IA - Waterloo,114,1,3,30628,3031527.6599999997,1168864.76,4
86,ID - Boise,122,2,7,138599,7644348.45,2998837.9000000013,6
87,ID - Idaho Falls,96,1,3,14533,2638150.81,798580.8299999994,2
88,IL - Aurora,101,1,2,10346,6819580.089999997,1311225.6499999992,2
89,IL - Bloomington,95,1,3,15546,4364602.889999999,1262554.3500000008,2
90,IL - Blue Island,127,1,8,96254,22094249.12000002,6380571.929999993,19
91,IL - Chicago,130,1,27,499287,58499596.89999998,18252161.26999999,16
92,IL - Elgin,120,1,5,69015,17662430.05999999,4168624.480000004,1
93,IL - Evanston,129,1,6,315348,18780995.20999999,5216894.639999998,15
94,IL - Hinsdale,125,1,4,44497,12983543.129999997,3081950.2199999997,1
95,IL - Joliet,125,1,5,52041,14028200.169999989,3521987.7199999983,1
96,IL - Melrose Park,129,1,12,341729,36602033.13,8538547.919999983,12
97,IL - Peoria,129,1,11,83222,16492443.169999996,4389274.1599999955,1
98,IL - Rockford,128,1,8,90778,18476517.599999983,4714591.089999998,1
99,IL - Springfield,128,1,9,93516,15583359.889999984,5076261.180000002,1
100,IL - Urbana,114,1,5,27009,9751293.850000007,2528621.5600000015,4
101,IN - Evansville,125,3,9,100804,11002143.719999995,3538728.4899999993,13
102,IN - Fort Wayne,118,2,15,85899,11970900.109999996,3324371.1800000025,6
103,IN - Gary,126,1,7,53262,13101553.2,4060069.9700000016,1
104,IN - Indianapolis,128,1,37,389565,46451522.12999994,15257153.709999997,16
105,IN - Lafayette,103,1,3,11329,5794743.439999998,1574956.7499999995,2
106,IN - Muncie,112,1,1,13664,3488015.040000002,960788.0099999995,4
107,IN - Munster,120,1,5,47458,8784509.87000001,2865681.640000002,4
108,IN - South Bend,125,1,7,45885,11653769.460000006,3410699.6499999985,1
109,IN - Terre Haute,120,1,2,15585,5737166.319999997,1481700.8699999994,4
110,KS - Topeka,124,1,7,48240,7520759.460000006,2249779.6100000017,1
111,KS - Wichita,123,1,28,78658,21285021.390000015,6121771.710000001,19
112,KY - Covington,116,1,3,51650,5719270.440000001,1913708.2799999989,4
113,KY - Lexington,129,1,28,167568,34611122.23999994,11136565.769999996,12
114,KY - Louisville,130,2,21,198426,22995324.970000014,8003798.909999999,0
115,KY - Owensboro,117,1,1,15536,2162669.959999999,1004761.6299999999,4
116,KY - Paducah,122,2,8,43417,11073865.699999992,3237492.9399999985,6
117,LA - Alexandria,116,1,8,19298,10125652.039999997,2288476.5499999993,4
118,LA - Baton Rouge,122,1,10,30629,12460301.790000005,3297507.6800000006,1
119,LA - Houma,104,1,5,13436,6165359.589999996,1666023.7300000002,2
120,LA - Lafayette,122,1,14,53698,14331758.610000003,4253758.910000003,19
121,LA - Lake Charles,100,1,8,16786,7021297.470000002,1671320.03,2
122,LA - Metairie,119,1,7,32963,11585981.02,2505228.299999998,4
123,LA - Monroe,118,1,12,33547,7361384.549999994,2113351.979999999,4
124,LA - New Orleans,119,1,7,84468,12857555.06,3294529.800000001,1
125,LA - Shreveport,127,2,16,99933,15706907.779999988,4716732.399999997,6
126,LA - Slidell,76,2,6,10125,5926559.050000002,1185062.2100000002,18
127,MA - Boston,130,1,41,1494212,61870396.91999975,30781725.53,8
128,MA - Springfield,126,1,9,116190,7676866.73,3739317.2900000014,1
129,MA - Worcester,127,1,8,180532,7598070.26,3619710.5400000033,15
130,MD - Baltimore,100,1,23,94192,25449498.819999978,23992800.169999983,17
131,MD - Salisbury,120,2,6,33339,6144603.680000005,3333385.9999999995,14
132,MD - Takoma Park,98,1,6,20156,5888251.2200000025,5545005.53,2
133,ME - Bangor,125,1,6,142038,4990570.100000003,2218442.780000002,1
134,ME - Portland,127,2,17,238915,16110086.869999997,6455212.930000007,0
135,MI - Ann Arbor,130,1,10,157481,17202790.459999993,6673209.450000004,15
136,MI - Dearborn,124,1,5,39695,9538490.230000008,3707894.4900000016,1
137,MI - Detroit,130,1,13,274440,24508606.579999965,10409852.820000011,12
138,MI - Flint,126,1,4,42081,9307802.509999998,3507347.380000004,1
139,MI - Grand Rapids,125,1,10,59506,8218534.709999997,4186689.909999998,1
140,MI - Kalamazoo,122,1,8,59370,9666914.560000008,3695305.3800000027,1
141,MI - Lansing,124,1,7,60300,8883058.200000007,3194502.0299999984,1
142,MI - Marquette,93,1,3,12164,2092421.4999999998,1080185.1000000003,2
143,MI - Muskegon,104,1,4,18145,2779447.1899999985,1366507.2600000002,2
144,MI - Petoskey,98,1,3,16895,2434278.7999999984,1204255.2699999998,2
145,MI - Pontiac,120,1,4,27848,5686730.909999998,2499013.829999998,4
146,MI - Royal Oak,130,1,5,139808,13591811.579999998,4478641.21,1
147,MI - Saginaw,126,1,9,86254,11448080.969999993,4305904.97,1
148,MI - St. Joseph,106,1,3,10378,1882010.1599999983,932085.9200000006,2
149,MI - Traverse City,120,1,2,34005,3164132.6900000004,1258370.4100000004,4
150,MN - Duluth,120,1,4,50738,4920353.949999998,1914732.8800000001,4
151,MN - Minneapolis,129,2,29,314765,39657906.61999996,13621214.26999999,3
152,MN - Rochester,127,1,7,134047,5112485.469999993,2330330.1500000013,1
153,MN - St. Cloud,120,1,1,26904,3097246.8000000003,1161219.5400000007,4
154,MN - St. Paul,124,1,7,83836,13384563.879999995,4186018.0599999996,1
155,MO - Cape Girardeau,118,1,5,29961,9456821.350000001,2132760.660000002,4
156,MO - Columbia,128,1,13,170335,16526082.630000003,5398011.830000005,15
157,MO - Joplin,120,3,7,57767,8986791.650000012,2508159.46,13
158,MO - Kansas City,130,2,35,366179,56443431.22999985,13405064.259999994,3
159,MO - Springfield,128,2,9,132618,11537336.720000003,3818278.830000002,6
160,MO - St. Louis,127,2,40,332376,70237453.75999995,20457545.900000002,3
161,MS - Gulfport,115,1,3,63166,9351031.559999999,1523983.0299999993,4
162,MS - Hattiesburg,122,1,4,26277,7206091.100000005,2181543.0100000002,4
163,MS - Jackson,126,1,23,90795,26866128.15999999,6923525.699999998,19
164,MS - Meridian,107,2,6,23585,4443611.020000004,1348128.5299999998,14
165,MS - Oxford,98,1,5,10166,3134503.3800000004,1163598.3699999999,2
166,MS - Tupelo,123,2,9,38659,6899108.860000001,2431681.349999999,6
167,MT - Billings,115,2,6,69256,5665415.539999993,2441775.350000001,14
168,MT - Great Falls,101,1,4,12218,2115360.9299999997,892364.6799999996,2
169,MT - Missoula,100,1,5,40412,4424387.119999998,1701547.3599999985,2
170,NC - Asheville,128,1,8,186856,6562581.23,2737393.0499999966,15
171,NC - Charlotte,128,2,22,284011,36570995.08999988,11645156.290000029,0
172,NC - Durham,129,2,15,337471,25623597.349999998,9520718.880000006,0
173,NC - Greensboro,123,1,3,39357,3732939.690000002,1751615.4,4
174,NC - Greenville,125,1,10,67187,12836861.590000004,5057314.670000005,1
175,NC - Hickory,110,1,4,63097,7015900.03,1760990.57,4
176,NC - Raleigh,126,1,13,167052,26036362.290000003,8359079.9599999925,19
177,NC - Wilmington,122,1,4,38852,4344022.959999997,1759677.53,4
178,NC - Winston-Salem,130,2,12,324187,14861895.529999977,5684357.109999997,0
179,ND - Bismarck,102,1,2,77864,2472214.509999999,1242516.3099999998,2
180,ND - Fargo/Moorhead MN,123,2,5,123041,5003610.259999999,2132027.43,6
181,ND - Grand Forks,100,1,2,83376,1868637.11,806758.62,2
182,ND - Minot,81,1,1,11731,1316428.18,607750.7200000001,18
183,NE - Lincoln,122,1,6,49263,7329888.999999999,2503324.0000000014,1
184,NE - Omaha,125,2,18,111787,27948879.349999998,7729354.01999999,0
185,NH - Lebanon,117,2,3,219638,3934294.9899999993,1816963.0800000008,14
186,NH - Manchester,127,1,9,249238,16166118.450000018,5172176.609999999,15
187,NJ - Camden,126,1,21,227090,109782772.85000011,16979178.77999996,11
188,NJ - Hackensack,126,2,9,80486,37505264.899999976,6892471.239999992,6
189,NJ - Morristown,125,2,7,75319,24286304.24000001,4682629.9799999995,6
190,NJ - New Brunswick,123,1,6,65701,41233036.28,6115717.429999996,19
191,NJ - Newark,125,1,12,117538,62656880.25000001,10489368.98999999,12
192,NJ - Paterson,124,1,2,31901,11200679.250000004,2138614.7099999986,1
193,NJ - Ridgewood,124,2,3,31011,9933844.219999993,2140890.349999998,6
194,NM - Albuquerque,127,3,28,217831,19836720.880000018,6921253.120000012,10
195,NV - Las Vegas,124,2,15,75406,66697876.490000084,9958925.97,0
196,NV - Reno,121,1,7,53333,12848165.200000014,3123512.250000001,1
197,NY - Albany,129,3,21,220244,32041234.510000017,10962565.61,10
198,NY - Binghamton,118,1,4,76886,4327012.690000001,1946414.2600000012,4
199,NY - Bronx,125,1,8,131231,13173192.639999995,7406995.069999998,19
200,NY - Buffalo,125,1,15,91676,10339236.899999993,5219112.489999998,19
201,NY - East Long Island,128,1,30,308342,88090438.14999975,27095832.69000002,11
202,NY - Elmira,118,1,4,50805,6122874.520000006,2312610.580000002,4
203,NY - Manhattan,129,1,28,562537,68688714.61000012,29490810.040000077,5
204,NY - Rochester,124,1,15,136526,8889603.19,5008700.810000003,19
205,NY - Syracuse,128,1,15,110215,13981916.49000001,6383775.869999996,19
206,NY - White Plains,122,1,11,73134,30043219.860000025,9016311.200000001,19
207,OH - Akron,126,1,7,82934,12974859.480000002,3249388.1199999987,1
208,OH - Canton,116,1,7,57318,5362568.65,2670618.67,4
209,OH - Cincinnati,130,2,17,164270,27169621.539999943,9036660.510000018,0
210,OH - Cleveland,130,1,25,784532,45866138.47000003,14047745.410000049,5
211,OH - Columbus,130,1,29,354979,36848509.72999997,13407941.209999988,16
212,OH - Dayton,125,1,14,98187,23177135.35000003,5813339.919999994,19
213,OH - Elyria,118,1,3,42350,4301852.060000001,1530603.3199999991,4
214,OH - Kettering,119,1,4,26909,8644453.370000003,2057723.2800000026,4
215,OH - Toledo,128,2,14,143462,24281061.990000017,6656690.730000013,0
216,OH - Youngstown,123,2,9,61218,13565192.81,4003002.680000002,6
217,OK - Lawton,110,1,4,12987,4152336.5099999993,1333963.5999999987,4
218,OK - Oklahoma City,128,1,43,266536,45290883.14000005,11183067.789999984,11
219,OK - Tulsa,125,2,29,116454,22297557.790000003,7585062.740000007,0
220,OR - Bend,88,1,2,6683,2443197.0600000005,861894.1499999999,18
221,OR - Eugene,114,1,6,47666,7296428.639999997,2774873.9899999998,4
222,OR - Medford,113,2,6,67613,8293599.789999997,2664221.589999999,14
223,OR - Portland,128,2,19,282326,22458379.61999998,8601382.749999972,0
224,OR - Salem,101,1,2,19149,2167998.7199999993,883454.8499999999,2
225,PA - Allentown,128,2,15,150398,38372469.289999984,7496028.729999996,0
226,PA - Altoona,115,1,5,28855,3056917.2900000005,1193236.6300000004,4
227,PA - Danville,126,1,9,141183,11935699.810000004,3332510.1599999964,1
228,PA - Erie,124,2,13,104406,14270636.319999985,4236232.280000002,6
229,PA - Harrisburg,128,1,9,186114,16015764.54000001,5562557.430000001,15
230,PA - Johnstown,112,1,4,17366,2706583.7,1116379.0999999992,4
231,PA - Lancaster,123,1,6,49862,11610281.83000001,2351773.5399999963,1
232,PA - Philadelphia,129,2,41,425967,172562014.04,26870694.969999958,9
233,PA - Pittsburgh,128,3,41,253720,45374064.390000015,15332663.190000014,3
234,PA - Reading,121,1,7,46017,11489871.920000006,3081353.2599999993,1
235,PA - Sayre,112,2,5,25835,3835697.6699999985,1505706.9400000004,14
236,PA - Scranton,119,1,5,27438,7850357.759999999,2318246.76,4
237,PA - Wilkes-Barre,125,1,2,71450,7362782.6099999985,1572473.9599999997,1
238,PA - York,121,1,4,33464,3947349.23,1983106.290000001,4
239,RI - Providence,129,2,12,106542,18982804.43999999,6904091.769999985,6
240,SC - Charleston,130,1,12,115122,25434812.959999982,6486680.729999989,19
241,SC - Columbia,127,1,14,96380,26549474.319999993,7338563.700000014,19
242,SC - Florence,124,1,9,39187,13465545.12,2881301.4899999993,1
243,SC - Greenville,124,1,11,92308,18349211.400000002,4454428.589999998,19
244,SC - Spartanburg,122,1,4,35187,7050741.179999998,1780134.0400000003,4
245,SD - Rapid City,113,1,4,20004,3491818.2800000003,1283862.1900000002,4
246,SD - Sioux Falls,126,3,16,69307,11562773.040000012,3952142.18,13
247,TN - Chattanooga,124,2,6,56515,13837980.319999997,3477388.4099999997,6
248,TN - Jackson,123,1,12,36658,8184649.360000011,2373929.550000002,1
249,TN - Johnson City,120,2,5,26806,6601177.239999997,1876010.4300000006,14
250,TN - Kingsport,121,2,12,55291,11950605.449999977,3570442.480000002,6
251,TN - Knoxville,126,2,24,136318,23270917.800000016,7422171.330000001,0
252,TN - Memphis,125,3,25,134462,30950869.08000001,8051009.850000016,10
253,TN - Nashville,130,2,42,276624,54824266.410000056,15634311.479999965,3
254,TX - Abilene,120,1,10,30006,9716704.200000001,2105640.920000001,4
255,TX - Amarillo,123,3,10,26590,7697690.69,2141646.0500000017,13
256,TX - Austin,129,1,19,193635,32790873.580000047,6788455.709999997,12
257,TX - Beaumont,120,1,7,25486,10606995.620000008,2328337.2799999984,4
258,TX - Bryan,115,1,3,24567,7223843.989999998,1367927.8499999996,4
259,TX - Corpus Christi,120,1,7,21355,12830716.449999997,2406669.2999999975,4
260,TX - Dallas,130,2,62,365225,99792017.13999988,22553156.640000008,9
261,TX - El Paso,122,2,11,52562,27686023.580000006,5116135.800000006,6
262,TX - Fort Worth,128,1,24,141750,40612889.39999995,8924464.379999988,12
263,TX - Harlingen,117,1,6,34530,15344495.3,3417917.1699999985,4
264,TX - Houston,129,1,66,325348,116831935.52,25351086.25999994,9
265,TX - Longview,115,1,2,12563,5783260.020000003,1191455.5000000005,4
266,TX - Lubbock,123,2,17,52791,16310079.169999998,3507875.260000002,6
267,TX - McAllen,119,1,6,30804,16867303.619999997,3876438.529999999,4
268,TX - Odessa,111,1,4,20653,6364908.819999994,1974859.8000000003,4
269,TX - San Angelo,105,1,2,13654,4488996.91,1082708.4200000009,2
270,TX - San Antonio,127,1,25,169507,33959047.300000004,8637090.479999995,12
271,TX - Temple,127,1,3,409720,4326626.529999999,1523306.27,15
272,TX - Tyler,128,1,13,211690,17034780.170000017,3014130.69,15
273,TX - Victoria,101,1,3,19090,6092911.18,1253871.9499999995,2
274,TX - Waco,117,1,9,32634,6433993.559999996,2103236.1600000006,4
275,TX - Wichita Falls,108,1,7,11446,3881113.879999996,1125752.34,2
276,UT - Ogden,95,1,4,22360,3077133.7099999986,1079348.5399999993,2
277,UT - Provo,88,1,5,9540,2619476.5700000003,976716.6099999998,18
278,UT - Salt Lake City,126,4,25,204235,15405843.67000001,6209709.740000001,10
279,VA - Arlington,125,1,10,66808,17933338.36,6668361.049999994,19
280,VA - Charlottesville,130,1,6,224452,10061752.120000008,4100292.3299999987,15
281,VA - Lynchburg,124,1,2,35926,2477027.1800000006,1031304.2900000002,4
282,VA - Newport News,120,1,6,40816,8409711.189999996,2917949.9499999974,4
283,VA - Norfolk,128,2,11,110777,20921037.34000004,6678309.050000003,6
284,VA - Richmond,128,1,17,230068,43626598.980000034,9356690.450000012,12
285,VA - Roanoke,126,2,13,74223,13831492.020000009,4566607.380000009,6
286,VA - Winchester,120,2,3,26326,3318525.5999999996,1680814.9699999993,14
287,VT - Burlington,128,2,9,189182,8193409.740000002,4519706.410000006,6
288,WA - Everett,112,1,5,51373,5707779.080000003,1772097.8799999997,4
289,WA - Olympia,109,1,3,22023,6612762.179999998,1667487.9200000018,2
290,WA - Seattle,129,1,17,537257,40928562.88999996,12995668.179999996,16
291,WA - Spokane,125,2,14,116749,18965235.47,6786664.740000002,6
292,WA - Tacoma,120,1,5,87838,17867386.640000008,4010062.949999996,1
293,WA - Yakima,111,1,3,48519,3953434.879999997,1385313.26,4
294,WI - Appleton,81,1,2,10284,1466334.1300000001,776453.9600000002,18
295,WI - Green Bay,110,2,8,71229,7216952.749999998,2618303.4100000015,14
296,WI - La Crosse,97,2,3,13771,3349378.149999999,1363855.3200000005,14
297,WI - Madison,127,1,13,330332,16929079.4,5809296.1199999945,15
298,WI - Marshfield,110,1,6,29556,4222472.889999996,1823523.5400000003,4
299,WI - Milwaukee,130,2,28,399565,43050174.83999996,12945168.749999963,3
300,WI - Neenah,64,1,3,11215,1432813.1199999999,646606.9900000006,18
301,WI - Wausau,111,1,3,47074,3496637.5199999986,1310453.0499999998,4
302,WV - Charleston,126,1,15,98614,13825145.549999988,5318709.839999991,19
303,WV - Huntington,125,2,6,103105,9050902.619999997,3238272.53,6
304,WV - Morgantown,126,3,7,49086,7708876.0699999975,3424691.8700000034,13
305,WY - Casper,89,1,4,7008,3551559.5800000015,1261110.3700000003,18
