,Provider Name,Procedures,Provider State,Region,Count Of Services,Charges,Payment,Cluster_22
30,ALASKA REGIONAL HOSPITAL,38,1,1,1674,1467719.3299999994,350227.77999999985,0
31,ALBANY MEDICAL CENTER HOSPITAL,114,1,1,6712,3984127.8899999997,1190182.8900000004,16
32,ALBANY MEMORIAL HOSPITAL,55,1,1,5756,580456.9299999999,264671.24000000005,0
33,ALBEMARLE HOSPITAL AUTHORITY,71,1,1,4852,1333002.9799999995,535141.51,14
34,ALBERT EINSTEIN MEDICAL CENTER,108,1,1,17435,5044370.43,1486997.3000000005,10
35,ALEGENT HEALTH BERGAN MERCY MEDICAL CENTER,100,1,1,11837,3457615.6600000015,829743.0899999999,18
36,ALEGENT HEALTH IMMANUEL MEDICAL CENTER,66,1,1,3557,1894406.8199999994,465058.07000000007,14
37,ALEGENT HEALTH LAKESIDE HOSPITAL,67,1,1,3482,1816998.1900000002,423853.2399999998,14
38,ALEGENT HEALTH MERCY HOSPITAL,58,1,1,3259,1639135.1000000003,441679.60000000003,14
39,ALEGENT HEALTH MIDLANDS HOSPITAL,34,1,1,1980,637853.95,138994.13000000003,7
40,ALEXIAN BROTHERS MEDICAL CENTER,115,1,1,17585,4484768.030000002,884605.41,16
41,ALHAMBRA HOSPITAL MEDICAL CENTER,39,1,1,1660,2087319.73,447636.5299999999,14
42,ALICE HYDE MEDICAL CENTER,30,1,1,756,288621.58,184908.83,7
43,ALLE KISKI MEDICAL CENTER,64,1,1,4460,929269.5600000002,334430.7199999999,0
44,ALLEGHENY GENERAL HOSPITAL,106,1,1,12656,3619550.5900000003,1062245.0099999995,16
45,ALLEGIANCE HEALTH,117,1,1,23197,2959837.9000000022,832280.8199999998,4
46,ALLEN MEMORIAL HOSPITAL,107,1,1,19382,1811276.6200000006,738701.4199999998,18
47,ALLEN PARISH HOSPITAL,6,1,1,214,8736.480000000001,6331.610000000001,20
48,ALLIANCE COMMUNITY HOSPITAL,56,1,1,8712,580189.06,289050.35999999987,0
49,ALLIANCE HEALTH CENTER,2,1,1,127,14520.35,8105.219999999999,20
50,ALLIANCE HEALTHCARE SYSTEM,21,1,1,712,176744.31,86521.13999999998,20
51,ALPENA REGIONAL MEDICAL CENTER,71,1,1,8632,1259274.97,489132.2500000001,14
52,ALTA BATES SUMMIT MEDICAL CENTER,99,1,1,8888,7224943.46,1368709.1700000004,10
53,ALTA BATES SUMMIT MEDICAL CENTER - ALTA BATES CAMP,85,1,1,12163,5522322.789999999,1117183.1999999995,16
54,ALTA VIEW HOSPITAL,28,1,1,2996,198389.81999999995,85356.4,7
55,ALTA VISTA REGIONAL HOSPITAL,23,1,1,1209,507581.2400000001,123431.93999999999,7
56,ALTON MEMORIAL HOSPITAL,81,1,1,6618,1964092.109999999,510470.90000000014,1
57,ALTOONA REGIONAL HEALTH SYSTEM,114,1,1,13043,2263835.4300000006,796624.4299999998,18
58,ALTRU HOSPITAL,100,1,1,83351,1847366.4900000002,790605.2999999999,12
59,ALVARADO HOSPITAL MEDICAL CENTER,83,1,1,3751,3514172.6700000004,757419.22,18
60,AMERICAN FORK HOSPITAL,34,1,1,1746,394117.31000000006,144648.4100000001,7
61,AMERICAN LEGION HOSPITAL,36,1,1,2863,207704.72000000006,160127.81000000003,7
62,AMHERST HOSPITAL,5,1,1,103,50807.03,23503.659999999996,20
63,ANAHEIM GENERAL HOSPITAL,5,1,1,146,163362.24000000002,35841.11,20
64,ANDALUSIA REGIONAL HOSPITAL,40,1,1,2239,546569.75,172754.65,7
65,ANDERSON HOSPITAL,70,1,1,6367,1210869.4000000001,388306.4599999998,14
66,ANDERSON REGIONAL MEDICAL CENTER,90,1,1,5418,2266178.0500000003,683741.0900000001,1
67,ANDERSON REGIONAL MEDICAL CENTER SOUTH CAMPUS,34,1,1,6924,554674.24,120649.04000000002,7
68,ANGLETON-DANBURY MEDICAL CENTER,20,1,1,936,198260.19000000003,86876.75000000003,20
69,"ANIMAS SURGICAL HOSPITAL, LLC",5,1,1,405,62734.13999999999,15441.61,20
70,ANMED HEALTH,111,1,1,16793,5068452.660000001,940865.7600000001,16
71,ANNA JAQUES HOSPITAL,78,1,1,10082,812473.5199999999,459934.69000000006,14
72,ANNE ARUNDEL MEDICAL CENTER,97,1,1,7317,1232827.2,1163444.4300000006,18
73,ANSON COMMUNITY HOSPITAL,21,1,1,779,249136.38999999998,98720.82000000002,20
74,ANSON GENERAL HOSPITAL,6,1,1,115,43245.76000000001,31374.51,20
75,ANTELOPE VALLEY HOSPITAL MED CENTER,97,1,1,4209,3900845.6600000006,1143290.35,16
76,APPLETON MED CTR,75,1,1,7435,856536.8899999999,468256.7699999999,14
77,APPLING HOSPITAL,25,1,1,879,234787.31999999998,98164.64,7
78,ARIA HEALTH,109,1,1,8895,4929457.3100000005,983940.5699999996,16
79,ARIZONA ORTHOPEDIC SURGICAL HOSPITAL,3,1,1,274,57737.03,12520.359999999999,20
80,ARIZONA REGIONAL MEDICAL CENTER,26,1,1,710,814178.0,183819.27999999997,7
81,ARIZONA SPINE AND JOINT HOSPITAL,4,1,1,575,129142.49999999999,39960.07,20
82,ARKANSAS HEART HOSPITAL,61,1,1,20506,1098967.38,309600.5400000001,0
83,ARKANSAS METHODIST MEDICAL CENTER,48,1,1,2610,628208.5300000005,271048.74,0
84,ARKANSAS SURGICAL HOSPITAL,7,1,1,2306,105383.59,47229.280000000006,20
85,ARKANSAS VALLEY REGIONAL MEDICAL CENTER,35,1,1,1651,295979.34,169453.22999999995,7
86,ARNOT OGDEN MEDICAL CENTER,95,1,1,12645,1565381.82,636166.3200000001,1
87,"AROOSTOOK MEDICAL CENTER,THE",42,1,1,32379,557735.27,219486.18999999997,0
88,ARROWHEAD HOSPITAL,60,1,1,1841,1502181.09,442904.38,14
89,ARROWHEAD REGIONAL MEDICAL CENTER,51,1,1,25538,1117617.7600000005,443205.7200000001,14
90,ARROYO GRANDE COMMUNITY HOSPITAL,35,1,1,2355,1056795.2899999996,196178.44999999995,7
91,ARTESIA GENERAL HOSPITAL,15,1,1,475,143655.06,58018.18,20
92,ASHLAND COMMUNITY HOSPITAL,18,1,1,6196,213424.37999999995,72138.78,20
93,ASHLEY VALLEY MEDICAL CENTER,15,1,1,602,135789.53000000003,58150.94000000001,20
94,ASHTABULA COUNTY MEDICAL CENTER,66,1,1,9991,926161.3600000001,360270.6399999999,14
95,ASPIRUS WAUSAU HOSPITAL,107,1,1,30738,2264215.51,806762.2700000001,4
96,ATHENS REGIONAL MEDICAL CENTER,120,2,2,22273,3570785.5099999984,1054346.0900000003,5
97,ATHENS-LIMESTONE HOSPITAL,48,1,1,3169,576253.94,258140.64999999997,0
98,ATLANTA MEDICAL CENTER,63,1,1,3295,3400933.9399999995,602410.6500000003,1
99,ATLANTA MEMORIAL HOSPITAL,22,1,1,971,173597.24000000002,70098.00000000001,20
100,ATLANTIC GENERAL HOSPITAL,59,1,1,1721,578972.5499999999,545533.34,14
101,ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV,117,1,1,19191,8169729.530000004,1055135.2100000004,10
102,ATMORE COMMUNITY HOSPITAL,27,1,1,1843,396765.48000000004,96067.69000000002,7
103,ATRIUM MEDICAL CENTER,87,1,1,6033,3213657.1799999983,664296.2499999998,1
104,AUBURN COMMUNITY HOSPITAL,68,1,1,3377,1015005.52,424141.2500000001,14
105,AUBURN REGIONAL MEDICAL CENTER,71,1,1,6012,1898580.9,511247.17000000004,14
106,AUDRAIN MEDICAL CENTER,52,1,1,6485,564825.04,260962.21000000005,0
107,AUGUSTA HEALTH,106,1,1,19136,1756498.9899999995,777599.0600000003,18
108,AULTMAN HOSPITAL,109,1,1,14125,1631211.9300000002,821012.3099999999,18
109,AURELIA OSBORN FOX MEMORIAL HOSPITAL,55,1,1,18737,411648.75000000006,238333.35999999993,0
110,AURORA BAYCARE MED CTR,61,1,1,6852,1255494.1899999988,419762.25999999995,14
111,AURORA LAKELAND MED CTR,47,1,1,7274,812186.0199999997,253078.63000000006,0
112,AURORA MED CENTER-WASHINGTON COUNTY,38,1,1,2382,474511.50999999995,140175.41,7
113,AURORA MED CTR KENOSHA,53,1,1,7571,874525.72,250152.66,0
114,AURORA MED CTR MANITOWOC CTY,32,1,1,2118,328233.91999999987,148756.93000000005,7
115,AURORA MED CTR OSHKOSH,38,1,1,4133,495909.3499999999,161046.96999999997,7
116,AURORA MEDICAL CENTER,43,1,1,3647,681089.15,200478.55,0
117,AURORA MEMORIAL HSPTL BURLINGTON,46,1,1,3511,853371.8500000003,254884.94999999995,0
118,AURORA SHEBOYGAN MEM MED CTR,37,1,1,1961,561630.3700000001,223656.51,7
119,AURORA ST LUKES MEDICAL CENTER,125,1,1,52974,4278852.389999998,1129740.3199999996,15
120,AURORA WEST ALLIS MEDICAL CENTER,96,1,1,9011,2292364.18,627129.8499999999,1
121,AUSTIN SURGICAL HOSPITAL,10,1,1,1128,64854.81,12862.780000000002,20
122,AVENTURA HOSPITAL AND MEDICAL CENTER,109,1,1,8992,6530989.940000003,921492.7800000005,10
123,AVERA HEART HOSPITAL OF SOUTH DAKOTA LLC,27,1,1,1387,689427.8500000001,321881.93000000005,7
124,AVERA MCKENNAN HOSPITAL & UNIVERSITY HEALTH CENTER,99,1,1,14321,2577317.3499999996,826426.4299999999,18
125,AVERA QUEEN OF PEACE,36,1,1,2344,507109.82,171805.58,7
126,AVERA SACRED HEART HOSPITAL,54,1,1,4216,940008.7100000001,330868.8100000001,0
127,AVERA ST LUKES,69,1,1,7556,1226210.9400000002,487067.29000000015,14
128,AVOYELLES HOSPITAL,22,1,1,1016,387633.0300000001,107260.44000000002,7
129,"BAILEY MEDICAL CENTER, L L C",14,1,1,948,143525.34999999998,36716.16999999999,20
130,BAKERSFIELD HEART HOSPITAL,55,1,1,1815,2808237.390000001,500318.6699999999,14
131,BAKERSFIELD MEMORIAL HOSPITAL,86,1,1,4864,5164455.080000002,942144.5400000002,16
132,BALTIMORE WASHINGTON  MEDICAL CENTER,97,1,1,6589,1256958.4399999997,1184442.2399999995,18
133,BAMBERG COUNTY MEMORIAL HOSPITAL,15,1,1,353,103947.13999999998,98335.60999999999,20
134,BANNER BAYWOOD MEDICAL CENTER,98,1,1,30871,2795825.5300000003,645325.0900000001,4
135,BANNER BOSWELL MEDICAL CENTER,117,1,1,11306,4407890.839999996,854785.1200000001,16
136,BANNER CHURCHILL COMMUNITY HOSPITAL,29,1,1,1432,386011.2000000001,154049.78,7
137,BANNER DEL E WEBB MEDICAL CENTER,104,1,1,7398,3998232.0200000014,793436.8300000002,18
138,BANNER DESERT MEDICAL CENTER,106,1,1,5013,3523963.72,946646.7300000002,16
139,BANNER ESTRELLA MEDICAL CENTER,73,1,1,2878,2540992.5500000007,625508.6200000002,1
140,BANNER GATEWAY MEDICAL CENTER,60,1,1,2214,1918921.3900000001,442815.6000000001,14
141,BANNER GOOD SAMARITAN MEDICAL CENTER,112,1,1,15885,4103096.529999998,1067336.7100000002,16
142,BANNER HEART HOSPITAL,31,1,1,1962,1400288.12,263497.04,0
143,BANNER THUNDERBIRD MEDICAL CENTER,107,1,1,7272,3512898.370000001,906813.01,18
144,BAPTIST EASLEY HOSPITAL,46,1,1,2431,1103861.4500000004,272855.1999999999,0
145,BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK,106,1,1,9015,2112432.75,704674.2599999997,1
146,BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK,120,1,1,12614,3030637.299999999,880134.4699999997,18
147,BAPTIST HEALTH MEDICAL CENTER-STUTTGART,26,1,1,1069,216332.87999999998,129736.69000000002,7
148,BAPTIST HOSPITAL,116,2,2,25144,5654057.780000004,1537361.640000001,5
149,BAPTIST HOSPITAL EAST,122,1,1,31335,2274011.67,782144.2500000003,4
150,BAPTIST HOSPITAL NORTHEAST,43,1,1,2271,466012.31000000006,198856.15,7
151,BAPTIST HOSPITAL OF MIAMI INC,109,1,1,11866,6806108.24,1189669.7899999998,10
152,BAPTIST MEDICAL CENTER,124,2,2,36160,9034991.719999995,1919259.3500000015,5
153,BAPTIST MEDICAL CENTER  BEACHES,75,1,1,5520,2113401.639999999,400694.6999999998,14
154,BAPTIST MEDICAL CENTER - NASSAU,31,1,1,1840,498546.44000000006,135478.83999999997,7
155,BAPTIST MEDICAL CENTER EAST,59,1,1,3700,1403091.04,400948.8700000001,14
156,BAPTIST MEDICAL CENTER SOUTH,109,1,1,6827,3019276.7199999993,920339.7899999998,18
157,BAPTIST MEDICAL CENTER-PRINCETON,107,1,1,6976,4421253.740000003,788964.33,16
158,BAPTIST MEM HOSP/GOLDEN TRIANGLE INC,79,1,1,4389,1731370.2500000007,585728.7499999997,14
159,BAPTIST MEMORIAL HOSPITAL,117,1,1,27189,3518599.1199999996,948855.2000000003,4
160,BAPTIST MEMORIAL HOSPITAL BOONEVILLE,25,1,1,1407,281653.97,108092.68000000001,7
161,BAPTIST MEMORIAL HOSPITAL DESOTO,107,1,1,11122,2865827.6399999997,904464.0000000003,18
162,BAPTIST MEMORIAL HOSPITAL HUNTINGDON,20,1,1,687,155414.42,55757.54,20
163,BAPTIST MEMORIAL HOSPITAL NORTH MS,85,1,1,4819,2091692.1199999996,727668.1099999999,1
164,BAPTIST MEMORIAL HOSPITAL TIPTON,19,1,1,987,185789.53,93842.93999999997,20
165,BAPTIST MEMORIAL HOSPITAL UNION CITY,40,1,1,1640,441686.34,178691.71,7
166,BAPTIST MEMORIAL HOSPITAL UNION COUNTY,43,1,1,2224,590582.48,202849.86999999988,0
167,BAPTIST REGIONAL MEDICAL CENTER,70,1,1,5645,1303570.8499999996,430125.2999999999,14
168,BAPTIST ST ANTHONYS HEALTH SYSTEM-BAPTIST CAMPUS,110,1,1,10289,3116536.380000001,801251.53,18
169,BARNES JEWISH HOSPITAL,117,1,1,35259,3199125.2600000002,1148790.99,4
170,BARNES-JEWISH ST PETERS HOSPITAL,66,1,1,10220,1218745.93,452111.38999999996,14
171,BARNES-JEWISH WEST COUNTY HOSPITAL,35,1,1,6328,410415.36000000016,164593.49000000014,7
172,BARNWELL COUNTY HOSPITAL,13,1,1,335,87539.65,62177.62,20
173,BARROW REGIONAL MEDICAL CENTER,30,1,1,1344,463551.23,138532.05000000005,7
174,BARSTOW COMMUNITY HOSPITAL,25,1,1,772,1043964.4700000002,178428.12000000002,7
175,BARTLETT REGIONAL HOSPITAL,21,1,1,1040,238668.97000000003,123289.41,7
176,BARTON MEMORIAL HOSPITAL,16,1,1,1337,252728.06999999998,76592.78000000003,20
177,BARTOW REGIONAL MEDICAL CENTER,50,1,1,2073,1198434.8499999999,246293.46000000002,0
178,BATES COUNTY MEMORIAL HOSPITAL,26,1,1,4692,371324.04,123775.46,7
179,BATON ROUGE GENERAL MEDICAL CENTER,102,1,1,6501,1894758.2700000003,876592.8999999999,18
180,BAXTER REGIONAL MEDICAL CENTER,100,1,1,10595,1450700.9999999998,600355.13,1
181,BAY AREA HOSPITAL,71,1,1,3852,1504089.0599999998,645075.2100000001,14
182,BAY AREA MED CTR,68,1,1,4188,1133798.7499999998,387524.37999999983,14
183,BAY MEDICAL CENTER,111,1,1,11054,2597551.2799999993,797689.7399999996,18
184,BAY PARK COMMUNITY HOSPITAL,38,1,1,1952,718238.04,138515.80000000002,7
185,BAYFRONT MEDICAL CENTER INC,95,1,1,5668,4031095.6,827646.1100000002,18
186,BAYHEALTH - KENT GENERAL HOSPITAL,113,1,1,16281,2466642.77,942571.6000000004,18
187,BAYHEALTH - MILFORD MEMORIAL HOSPITAL,7,1,1,108,147500.91,58595.36,20
188,BAYLOR ALL SAINTS MEDICAL CENTER AT FW,106,1,1,10806,2971975.0,957411.6599999999,18
189,BAYLOR HEART AND VASCULAR HOSPITAL,31,1,1,1605,720150.3100000002,232284.25999999992,7
190,BAYLOR MEDICAL CENTER AT CARROLLTON,54,1,1,4002,1259876.1800000002,351107.88000000006,0
191,BAYLOR MEDICAL CENTER AT FRISCO,11,1,1,930,281110.01,60534.719999999994,20
192,BAYLOR MEDICAL CENTER AT GARLAND,103,1,1,23873,2683447.5700000008,862114.52,4
193,BAYLOR MEDICAL CENTER AT IRVING,87,1,1,10666,2423653.600000001,692593.5200000001,1
194,BAYLOR MEDICAL CENTER AT TROPHY CLUB,4,1,1,271,53846.4,13175.92,20
195,BAYLOR MEDICAL CENTER AT UPTOWN,6,1,1,503,130368.69999999998,51026.689999999995,20
196,BAYLOR MEDICAL CENTER AT WAXAHACHIE,45,1,1,2242,901195.8299999997,270846.99999999994,0
197,BAYLOR ORTHOPEDIC AND SPINE HOSPITAL AT ARLINGTON,2,1,1,243,133696.26,37967.35,20
198,BAYLOR REGIONAL MEDICAL CENTER AT GRAPEVINE,84,1,1,4651,2395451.3,597536.37,1
199,BAYLOR REGIONAL MEDICAL CENTER AT PLANO,63,1,1,3339,1782993.74,445522.39000000013,14
200,BAYLOR SURGICAL HOSPITAL AT FORT WORTH,8,1,1,1090,230478.83,102425.56000000001,20
201,BAYLOR UNIVERSITY MEDICAL CENTER,113,1,1,51421,3168594.5299999993,1072760.89,15
202,BAYONNE HOSPITAL CENTER,60,1,1,1865,8846480.230000002,600762.5,16
203,BAYSHORE COMMUNITY HOSPITAL,96,1,1,5365,4387975.379999999,691719.9400000003,18
204,BAYSHORE MEDICAL CENTER,97,1,1,5457,4710006.419999999,822288.9,16
205,BAYSTATE FRANKLIN MEDICAL CENTER,48,1,1,3664,603010.2599999998,252643.73999999993,0
206,BAYSTATE MARY LANE HOSPITAL,24,1,1,1516,147027.1,76687.57999999997,20
207,BAYSTATE MEDICAL CENTER,122,1,1,59545,2324493.4099999997,1255731.5899999992,15
208,BEACHAM MEMORIAL HOSPITAL,19,1,1,513,164402.83000000002,91955.3,20
209,BEAR VALLEY COMMUNITY HOSPITAL,4,1,1,87,15529.92,9583.55,20
210,BEAUFORT COUNTY MEDICAL CENTER,46,1,1,5819,360897.13,220951.45,0
211,BEAUFORT COUNTY MEMORIAL HOSPITAL,83,1,1,7073,1719681.9199999997,561127.1,1
212,"BEAUMONT HOSPITAL, GROSSE POINTE",96,1,1,6731,1700033.7500000007,669530.3200000001,1
213,BEAUREGARD MEMORIAL HOSPITAL,28,1,1,935,572134.1900000001,130164.53000000001,7
214,BEAVER DAM COM HSPTL,40,1,1,4271,714094.2200000004,214137.39,0
215,BEAVER VALLEY HOSPITAL,1,1,1,20,11409.0,8885.9,20
216,BECKLEY ARH HOSPITAL,70,1,1,3479,708886.57,392244.1700000001,14
217,BEDFORD MEMORIAL HOSPITAL,32,1,1,1720,361137.9799999999,124295.01,7
218,BEEBE MEDICAL CENTER,102,1,1,16729,2996211.87,896853.4100000004,18
219,BELLEVUE HOSPITAL,29,1,1,1591,253708.91999999998,89772.46,7
220,BELLEVUE HOSPITAL CENTER,52,1,1,1324,1128887.97,804721.95,14
221,BELLEVUE MEDICAL CENTER,31,1,1,655,772801.25,178852.39000000004,7
222,BELLFLOWER MEDICAL CENTER,20,1,1,773,531468.3800000001,137071.71000000005,7
223,BELLIN MEMORIAL HSPTL,67,1,1,15862,1050232.9600000002,387643.4499999997,14
224,BELLVILLE GENERAL HOSPITAL,14,1,1,575,72321.83999999998,45802.9,20
225,BELMONT COMMUNITY HOSPITAL,10,1,1,442,56910.66000000001,25243.170000000002,20
226,BELOIT MEM HSPTL,74,1,1,71759,1724180.9599999997,416626.1099999999,12
227,BENEDICTINE HOSPITAL,24,1,1,2929,306252.8,94065.08,7
228,BENEFIS HOSPITALS INC,97,1,1,9497,1881639.6400000001,768686.1599999997,1
229,BERGEN REGIONAL MEDICAL CENTER,28,1,1,5970,535378.23,132437.63000000003,7
230,BERGER HOSPITAL,43,1,1,2754,470165.64,209533.2900000001,7
231,BERKSHIRE MEDICAL CENTER INC,108,1,1,26743,1722529.89,995960.4899999999,4
232,BERRIEN COUNTY HOSPITAL,8,1,1,203,37898.4,12286.829999999998,20
233,BERT FISH MEDICAL CENTER,55,1,1,7044,913681.1699999999,270969.0899999999,0
234,BERTRAND CHAFFEE HOSPITAL,15,1,1,289,85706.11,47790.75,20
235,BERWICK HOSPITAL CENTER,43,1,1,2103,1038425.2100000002,147997.16999999998,0
236,BETH ISRAEL DEACONESS HOSPITAL - NEEDHAM,52,1,1,12055,406255.83999999997,218318.99000000005,0
237,BETH ISRAEL DEACONESS MEDICAL CENTER,129,1,1,148320,2596608.4699999983,1517833.88,9
238,BETH ISRAEL MEDICAL CENTER,126,1,1,87834,4837356.47,1682978.08,3
239,BETHESDA MEMORIAL HOSPITAL,113,1,1,19551,4705874.829999998,899803.8400000001,16
240,BETHESDA NORTH HOSPITAL,114,1,1,12645,3199153.0500000003,850872.6399999997,18
241,BETSY JOHNSON REGIONAL  HOSPITAL,70,1,1,3750,1045286.3400000001,427177.9200000001,14
242,BEVERLY HOSPITAL,67,1,1,3884,1344335.3499999999,608991.1400000001,14
243,BEVERLY HOSPITAL CORPORATION,106,1,1,36463,1180302.6799999995,723601.0399999999,4
244,BIBB MEDICAL CENTER,4,1,1,88,16582.75,10417.07,20
245,BILLINGS CLINIC HOSPITAL,102,1,1,38512,1810436.0300000005,773414.3799999999,4
246,BILOXI REGIONAL MEDICAL CENTER,67,1,1,3837,2638418.360000001,390024.0499999999,14
247,BLACK HILLS SURGICAL HOSPITAL LLP,7,1,1,2659,197065.06000000003,56809.96,20
248,BLAKE MEDICAL CENTER,102,1,1,5623,4433338.569999999,712687.4700000002,18
249,BLANCHARD VALLEY HOSPITAL,81,1,1,11925,1201596.1700000002,482246.0300000001,14
250,BLESSING HOSPITAL,111,1,1,11162,2760354.209999999,855966.5299999998,18
251,BLOOMSBURG HOSPITAL,25,1,1,1294,417728.17,90230.19,7
252,BLOUNT MEMORIAL HOSPITAL,91,1,1,7297,2464571.04,599974.46,1
253,BLUEFIELD REGIONAL MEDICAL CENTER,73,1,1,3732,909296.6100000005,434949.55999999976,14
254,BLUFFTON REGIONAL MEDICAL CENTER,36,1,1,2012,616950.5599999999,163895.44000000003,7
255,BOB WILSON MEMORIAL GRANT COUNTY HOSPITAL,6,1,1,138,33625.64,17388.39,20
256,BOCA RATON REGIONAL HOSPITAL,114,1,1,32630,3752259.2300000014,811643.5300000003,4
257,BOLIVAR GENERAL HOSPITAL,10,1,1,293,43284.54,51126.29,20
258,BOLIVAR MEDICAL CENTER,54,1,1,2449,965794.7099999998,252754.06000000006,0
259,BON SECOURS - DEPAUL MEDICAL CENTER,80,1,1,4558,1884875.2499999995,614804.76,1
260,BON SECOURS - MEMORIAL REGIONAL MEDICAL,107,1,1,27983,3398337.299999999,831824.5600000002,4
261,BON SECOURS - RICHMOND COMMUNITY HOSPITAL,22,1,1,1159,300973.86,106881.64000000001,7
262,BON SECOURS - ST FRANCIS MEDICAL CENTER,80,1,1,5650,2262498.329999999,581928.5599999998,1
263,BON SECOURS - ST MARYS HOSPITAL OF RICHMOND,117,1,1,17740,3618485.5000000014,891093.7999999998,16
264,BON SECOURS COMMUNITY HOSPITAL,59,1,1,3539,1805827.18,447231.5499999999,14
265,BON SECOURS HOSPITAL,38,1,1,1258,513590.0800000001,482858.28,0
266,BON SECOURS MARYVIEW MEDICAL CENTER,97,1,1,9841,2181171.42,754745.4499999998,1
267,BON SECOURS-ST FRANCIS XAVIER HOSPITAL,76,1,1,7444,2180598.9999999995,582291.36,1
268,BOONE HOSPITAL CENTER,116,1,1,18213,2447501.450000001,750038.7100000004,18
269,BORGESS MEDICAL CENTER,107,1,1,16514,3107648.32,978833.0099999999,18
270,BOSTON MEDICAL CENTER CORPORATION,123,1,1,152517,2381579.49,1652999.9999999998,9
271,BOTHWELL REGIONAL HEALTH CENTER,75,1,1,6924,987207.7199999996,374675.4700000001,14
272,BOTSFORD HOSPITAL,102,1,1,17606,1715362.3299999994,996401.7099999997,18
273,BOULDER COMMUNITY HOSPITAL,73,1,1,14962,2615995.5,509166.73,1
274,BOURBON COMMUNITY HOSPITAL,17,1,1,548,132437.06999999998,64221.58999999999,20
275,BOWIE MEMORIAL HOSPITAL,20,1,1,555,217716.02999999994,73846.55999999998,20
276,BOZEMAN DEACONESS HOSPITAL,57,1,1,5781,618639.28,282569.7999999999,0
277,BRADFORD REGIONAL MEDICAL CENTER,49,1,1,4987,394228.76,216745.31999999998,0
278,BRANDON REGIONAL HOSPITAL,105,1,1,4590,5981371.710000001,897337.73,16
279,BRANDYWINE HOSPITAL,81,1,1,5376,4225127.340000001,519379.96,1
280,BRATTLEBORO MEMORIAL HOSPITAL,27,1,1,2698,252692.96000000002,149946.90999999995,7
281,BRAZOSPORT REGIONAL HEALTH SYSTEM,69,1,1,5008,1272878.7800000003,368322.05000000005,14
